season,player,team,tenure_years
2011,Y Gnaneswara Rao,Kochi Tuskers Kerala,1
2009,Y Nagar,Delhi Capitals,1
2010,Y Nagar,Delhi Capitals,2
2011,Y Nagar,Delhi Capitals,3
2012,Y Nagar,Delhi Capitals,4
2019,Y Prithvi Raj,Kolkata Knight Riders,1
2008,Y Venugopal Rao,Deccan Chargers,1
2009,Y Venugopal Rao,Deccan Chargers,2
2010,Y Venugopal Rao,Deccan Chargers,3
2011,Y Venugopal Rao,Delhi Capitals,1
2012,Y Venugopal Rao,Delhi Capitals,2
2014,Y Venugopal Rao,Sunrisers Hyderabad,1
2009,YA Abdulla,Punjab Kings,1
2010,YA Abdulla,Punjab Kings,2
2020,YBK Jaiswal,Rajasthan Royals,1
2021,YBK Jaiswal,Rajasthan Royals,2
2022,YBK Jaiswal,Rajasthan Royals,3
2023,YBK Jaiswal,Rajasthan Royals,4
2024,YBK Jaiswal,Rajasthan Royals,5
2025,YBK Jaiswal,Rajasthan Royals,6
2008,YK Pathan,Rajasthan Royals,1
2009,YK Pathan,Rajasthan Royals,2
2010,YK Pathan,Rajasthan Royals,3
2011,YK Pathan,Kolkata Knight Riders,1
2012,YK Pathan,Kolkata Knight Riders,2
2013,YK Pathan,Kolkata Knight Riders,3
2014,YK Pathan,Kolkata Knight Riders,4
2015,YK Pathan,Kolkata Knight Riders,5
2016,YK Pathan,Kolkata Knight Riders,6
2017,YK Pathan,Kolkata Knight Riders,7
2018,YK Pathan,Sunrisers Hyderabad,1
2019,YK Pathan,Sunrisers Hyderabad,2
2013,YS Chahal,Mumbai Indians,1
2014,YS Chahal,Royal Challengers Bengaluru,1
2015,YS Chahal,Royal Challengers Bengaluru,2
2016,YS Chahal,Royal Challengers Bengaluru,3
2017,YS Chahal,Royal Challengers Bengaluru,4
2018,YS Chahal,Royal Challengers Bengaluru,5
2019,YS Chahal,Royal Challengers Bengaluru,6
2020,YS Chahal,Royal Challengers Bengaluru,7
2021,YS Chahal,Royal Challengers Bengaluru,8
2022,YS Chahal,Rajasthan Royals,1
2023,YS Chahal,Rajasthan Royals,2
2024,YS Chahal,Rajasthan Royals,3
2025,YS Chahal,Punjab Kings,1
2023,YV Dhull,Delhi Capitals,1
2008,YV Takawale,Mumbai Indians,1
2009,YV Takawale,Mumbai Indians,2
2014,YV Takawale,Royal Challengers Bengaluru,1
2022,Yash Dayal,Gujarat Titans,1
2023,Yash Dayal,Gujarat Titans,2
2024,Yash Dayal,Royal Challengers Bengaluru,1
2025,Yash Dayal,Royal Challengers Bengaluru,2
2023,Yash Thakur,Lucknow Super Giants,1
2024,Yash Thakur,Lucknow Super Giants,2
2025,Yash Thakur,Punjab Kings,1
2009,Yashpal Singh,Kolkata Knight Riders,1
2008,Younis Khan,Rajasthan Royals,1
2023,Yudhvir Singh,Lucknow Super Giants,1
2024,Yudhvir Singh,Lucknow Super Giants,2
2025,Yudhvir Singh,Rajasthan Royals,1
2008,Yuvraj Singh,Punjab Kings,1
2009,Yuvraj Singh,Punjab Kings,2
2010,Yuvraj Singh,Punjab Kings,3
2011,Yuvraj Singh,Pune Warriors,1
2013,Yuvraj Singh,Pune Warriors,1
2014,Yuvraj Singh,Royal Challengers Bengaluru,1
2015,Yuvraj Singh,Delhi Capitals,1
2016,Yuvraj Singh,Sunrisers Hyderabad,1
2017,Yuvraj Singh,Sunrisers Hyderabad,2
2018,Yuvraj Singh,Punjab Kings,1
2019,Yuvraj Singh,Mumbai Indians,1
2008,Z Khan,Royal Challengers Bengaluru,1
2009,Z Khan,Mumbai Indians,1
2010,Z Khan,Mumbai Indians,2
2011,Z Khan,Royal Challengers Bengaluru,1
2012,Z Khan,Royal Challengers Bengaluru,2
2013,Z Khan,Royal Challengers Bengaluru,3
2014,Z Khan,Mumbai Indians,1
2015,Z Khan,Delhi Capitals,1
2016,Z Khan,Delhi Capitals,2
2017,Z Khan,Delhi Capitals,3
2025,Zeeshan Ansari,Sunrisers Hyderabad,1
